comment,author,date,num_likes
1,아잇,2022-08-21T16:33:24Z,0
지금도 듣는 진짜 좋은노래,1둘기,2022-08-20T08:13:47Z,2
주폭 소년단 사랑해요~~~!~!!~!~~!~!!,말랑뱃살댕댕이,2022-08-19T12:19:19Z,1
😍,홍시,2022-08-17T05:39:32Z,0
르릇당의 마스터피스엔 감동이 있다,미스터개드립,2022-08-16T16:28:52Z,2
르르땅 춤추는 거 진짜  ㄱㅇㅇ,루덤,2022-08-15T12:51:12Z,1
르르땅 ㅠㅠㅠ나 울어,knight,2022-08-15T12:30:47Z,4
쭉쭉쭉 발성 미친다♡,곰과나,2022-08-15T12:03:57Z,1
마스터피스랑 세계는 사랑에 빠져있는거야랑 사이언티스트 교복같은거 보면 같은 세계관일듯,햄스터박사라네,2022-08-14T13:33:36Z,1
보컬 진짜 많이 좋아졌네... ㄷㄷ,칸냥,2022-08-14T12:41:20Z,2
점프하는거 개귀엽네 진짜 ㅋㅋㅋㅋㅋㅋㅋ,가짜서준,2022-08-14T02:55:46Z,1
가끔식 힘든일이 있을때마다 이 노래를 들으러 와요 제 삶의 활력소인 주르르님 감사합니다..,엥,2022-08-13T15:16:40Z,1
르르땅 최고야!!,쭌,2022-08-13T08:14:38Z,1
르르땅 목소리 개좋아,춘식이,2022-08-11T16:44:48Z,1
찰흙 애니메이션임? ㅋㅋ,정다운,2022-08-11T13:20:14Z,0
110만 옵니다요,하스냥♡,2022-08-11T08:31:27Z,1
"또 듣고 갑니다 
팬서비스와 이노래는 못참는다..",MING,2022-08-10T02:32:42Z,2
"As an Im@s fan, I approve of this cover!",杏金P(@nzukinP),2022-08-10T01:01:53Z,3
이 커버가 르르땅의 최고의 마스터피스임을 자신있게 이야기 할 수 있다,곰과나,2022-08-09T11:19:39Z,2
"주르르 귀여워!
이세돌 다른분들도 다같이 나오는 마스터피스 기대해봅니다",달이지네,2022-08-09T07:24:36Z,3
4:04 가사가 틀려요!,ㅇㅅㅂ,2022-08-09T03:20:28Z,1
주르르쨩!!!!,제이엠쓰 JM'S,2022-08-07T22:01:42Z,2
이게뭐지,투움바파스타,2022-08-07T10:40:27Z,0
르르는 신이야,김바다로돌아가자,2022-08-06T10:29:00Z,1
:),TICTAP [SMG Music],2022-08-05T12:29:09Z,2
르르땅 flac 파일 내놩.. 아니... 주...주세요. 헷헤....,TS_inventor H,2022-08-04T10:27:07Z,4
왤케 울컥하냐..,앵김고,2022-08-03T04:02:14Z,1
너무 좋아요,개다영,2022-08-03T03:33:38Z,1
오늘도 마스터피스랑 주이언티스트 보면서 대가리를 깨는 나..,ᄋᄋᄋ,2022-08-02T04:12:30Z,1
"전주만 들어도 도키도키,,, 공주 르르땅 ❤️‍🔥❤️‍🔥",애융,2022-08-01T07:15:17Z,1
세구가 주폭소년단 쥰내 웃기다는거 듣고 보러왔는데 개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋ,김규민,2022-07-31T09:55:04Z,0
르르님 과제곡으로 마스터피스란 띵곡을 첨 알게 됐었습니다.. 아이마스가 아이돌마스터의 줄임말인지도 몰랐었는데 르릇땅 데뷔 응원하면서 알게 된곡을 이렇게 완전한 뮤비로 보게되다니 진짜 감동입니다....ㅠㅠㅜㅜㅜ,진우,2022-07-31T04:01:56Z,3
매번 들을때마다 생각하지만 르르땅이랑 참 잘어울리는 노래 같아요. 각 멤버들마다 아이덴티티처럼 떠오르는 노래가 있는데 저한테 르르땅은 마스터피스로 기억됩니다ㅎ,EYES *,2022-07-30T18:21:42Z,3
"근데 아드가 ""합격""이란 한 댓글 어디갔음?",ᄋᄋ,2022-07-28T18:10:27Z,0
백만 키타,하스냥♡,2022-07-27T23:18:44Z,2
백만 추카,모시모시,2022-07-27T13:13:28Z,3
100만 할짝,우소네코,2022-07-27T10:40:14Z,0
"[주르르] [JURURU]

자, 빛내볼까
하얗게

YES! 여기 저기 모인
많은 추억의

눈부심이 오늘의 빛깔이 돼
 
자, 곧바로 날아갈게
YES! 맘 속 깊이 간직했던 미래 

보란 듯이 
변하는 힘찬 날개

STAGE
꼭 잡은 마이크로

LIVE
무대 위 춤을 추며

새로운 막을
열어보자 지금

NEVER END IDOL!

꿈에 닿기 위해
해내갈 때

OH 달려오며 
꿈을 잇던 조각들로

힘껏 한 걸음
쭉쭉쭉 전할게요

꿈에 마주하는 
멋진 하루는

마음이 이뤄냈던
모든 것이니까

두근거리는
이 마음이

이게 나의 
M@STERPIECE !

너에게
하고 싶은 말

나, 널 만나서
다행인 마음 담아

'고마워요, 다시 또 잘 부탁해'

SMILE
함께 있을 때도

TEAR
쓸쓸히 있을 때도

반짝거리는
그곳을 향하여 나아가

ALL STARS!

다음날은
어떤 하루가 될까

아무도 그걸 장담한다 못한대도

그 말은 어떤 날이라도 
될 수 있단 것

다음날은
'뒤를 쫓아서 가는 게' 아냐

지금으로
'변해가는'거야

나아가,
내 자신이 되는

우리들은
M@STERPIECE

(간주 중)

STAGE
꼭 잡은 마이크로

LIVE
무대 위 춤을 추며

아름답게 핀
시작을 할게요

NEVER END IDOL!
M@STERPIECE!

꿈에 닿기 위해
해내갈 때

OH 달려오며
꿈을 잇던 조각들로

힘껏 한걸음
쭉쭉쭉 전할게요

꿈에 마주하는
멋진 하루는

마음이 이뤄냈던
모든 것이니까

두근거리는
이 마음이

우리들의
M@STERPIECE!


---------------------------------

가사 적던 중에 영상에 이슈가 있어 말씀드려요!
4:03 부분부터  4:08 까지 오타 이슈가 있습니다
위에 있는 가사는 수정을 하여 올린 가사입니다
이 점 참고 부탁드립니다.",권혁,2022-07-27T08:19:52Z,6
굿,구름고양이_백야,2022-11-16T05:53:30Z,0
백만ㅊㅊㅊㅊ 르르땅 화이팅💕🦊💕,건식빵,2022-07-27T08:04:09Z,3
르르땅 백만 축하해욧,고인웅,2022-07-27T03:33:26Z,2
후욱후욱,정재욱,2022-07-27T03:09:55Z,0
100만 찍었넹 ㅊㅊㅊㅊㅊㅊ,밤끝,2022-07-27T00:34:06Z,2
100만 축하드려요!!,운표,2022-07-26T20:44:50Z,1
100만추,우리집 멍뭉이사진이오,2022-07-26T15:11:23Z,1
오 100만 ㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊ,이은영,2022-07-26T15:07:13Z,1
1일 1주스터피스 한 보람이 있읍니다~ 좋아요~,ciegmund,2022-07-26T15:05:49Z,1
르르땅 100만 축하해 (◍•ᴗ•◍)❤,징쨩,2022-07-26T14:32:21Z,2
100만 달성 축하드려요 !! 킹아 !!,Hea kin,2022-07-26T14:06:50Z,2
르르땅 최고야! 르르땅 사랑해! 르르땅 마스터피스 100만 축하해!,느그자냄시,2022-07-26T13:59:40Z,2
르르땅~~ 사랑해요,고인웅,2022-07-26T10:56:47Z,1
100만달성 축하드립니다...르릇당..,나근,2022-07-26T10:39:48Z,2
99만!!!,Great History Mapper,2022-07-26T09:41:55Z,1
100만 코앞,하스냥♡,2022-07-26T08:47:56Z,1
이노래가 세구의 팬섭과 내 최애를 다툴 노래다,파이팅아자아자,2022-07-26T06:50:22Z,1
행복해 보이네요. 르르땅 최고다!!!,박지민,2022-07-25T17:47:17Z,1
"100만 드가자~~~~~~
르르땅!!! 돌파하는거야!!",방구석트수_,2022-07-25T14:11:36Z,3
나 이런걸 좋아하네...?,삼거리에 작은 집,2022-07-25T11:14:05Z,3
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Assorted Seashells,2022-07-24T16:35:00Z,0
